age,income,education_years,experience,credit_score
23,49135,11,6,460
46,53016,6,15,604
42,65759,13,18,546
42,66582,21,7,589
25,67805,16,6,636
49,48979,13,12,745
20,32854,13,8,670
40,74501,14,9,680
56,32804,15,11,540
25,54539,10,0,561
29,38685,17,16,829
35,49037,16,10,576
29,55634,16,7,815
19,54820,15,9,625
35,51894,14,9,650
24,74205,16,1,757
39,56803,14,17,777
25,46337,12,10,638
38,64461,12,12,611
27,67842,14,14,644
31,31585,18,4,683
43,58961,10,12,739
22,60517,9,8,650
37,45536,14,14,711
48,44467,14,0,813
18,47749,14,9,688
36,49572,14,11,681
37,47403,13,9,498
35,50233,18,12,386
22,33555,9,6,688
21,46894,11,6,640
40,73917,13,9,598
37,37295,9,5,674
37,35129,14,8,643
38,17699,18,8,762
28,40415,14,9,658
37,30153,14,8,575
37,74630,10,4,749
27,65147,12,9,628
53,39677,12,3,702
39,83786,13,10,602
23,64726,17,16,585
41,45804,15,11,658
34,12508,10,6,651
42,55701,14,12,697
46,29156,15,7,623
26,25319,17,6,466
44,65338,18,4,606
39,54402,10,1,729
43,70764,11,8,620
53,44160,10,10,625
32,51257,13,9,748
27,62801,15,7,578
26,61383,14,9,495
26,54217,13,13,633
34,51563,13,3,601
38,49061,14,13,553
37,55642,11,4,632
43,45789,20,6,699
37,24605,9,9,649
34,48524,14,7,680
32,35171,20,14,831
62,33446,14,12,615
41,52698,13,14,677
26,70880,12,12,599
24,63774,13,4,565
36,26442,18,8,591
32,35155,7,6,602
42,64111,18,16,685
39,35262,9,4,884
34,46630,13,14,578
26,56752,12,6,608
19,35474,11,19,643
30,55360,9,7,689
43,29989,15,13,676
37,40979,20,21,778
22,54796,9,6,407
40,26105,14,10,411
38,56607,13,0,600
26,49705,15,13,759
36,45728,14,0,493
35,54043,12,8,349
23,70462,15,12,707
38,51878,19,10,674
40,43558,13,12,540
45,51834,16,9,551
45,58149,10,16,553
21,50732,11,5,661
36,50608,15,6,587
40,39470,18,6,699
40,40056,15,14,364
35,28960,13,14,564
73,47159,13,9,537
40,31342,10,15,624
46,39606,15,11,596
44,48118,16,18,729
41,63423,13,17,464
31,45575,12,10,654
42,68716,14,18,705
27,39897,12,1,835
32,51735,13,7,601
30,37469,20,6,682
35,82177,13,13,469
58,32186,13,10,410
16,49325,12,13,734
41,59506,16,16,649
18,56206,13,13,767
30,47220,12,11,512
45,48052,17,10,701
41,50657,18,5,836
24,47794,12,16,691
27,64458,8,13,677
41,83157,17,9,650
27,41637,11,7,492
37,29452,16,0,785
35,48675,8,4,588
28,88695,16,19,700
56,37944,10,3,493
41,42625,16,9,532
14,54645,14,11,793
36,41696,11,11,615
28,49636,12,10,795
43,74425,14,14,642
27,44313,14,10,465
33,46946,15,24,739
40,41274,19,9,591
43,34778,14,15,719
22,40260,18,9,652
31,31640,14,13,495
34,50511,11,12,666
28,57208,10,6,869
52,53506,13,11,699
39,26661,16,0,644
22,54963,13,13,757
44,50986,18,11,671
56,20093,9,13,670
34,55610,13,15,540
19,68415,10,11,673
30,31855,14,10,753
47,75088,16,5,566
27,56285,12,6,792
36,39424,6,15,640
42,49163,14,17,561
25,47875,15,8,749
33,51140,15,10,621
2,58081,17,5,725
24,36189,10,15,620
32,52540,16,8,644
38,28794,17,19,699
51,48331,8,5,679
20,36441,14,9,450
30,38967,12,11,537
36,47887,13,13,742
49,52240,15,8,636
20,59137,12,5,597
46,33615,11,14,514
35,45253,14,13,542
25,68196,10,5,447
39,52125,10,16,639
36,84789,16,15,590
28,60903,10,8,553
35,54218,15,10,643
31,45363,15,12,686
36,52003,8,5,859
41,47712,14,10,498
50,60621,12,0,765
22,64350,11,14,747
56,47890,12,2,572
15,30031,15,11,670
35,22456,16,8,604
40,57619,13,8,668
37,33449,13,6,800
28,17706,18,8,710
32,55828,19,17,700
30,87394,16,-2,606
29,49908,14,11,501
43,62577,11,11,629
38,51227,11,3,770
28,53029,15,4,497
43,63786,13,12,544
38,45645,18,5,662
43,54010,15,4,551
38,54825,9,15,570
26,39978,17,11,607
29,64880,11,9,513
42,46977,12,11,552
40,38663,14,12,720
34,58047,19,15,519
36,36522,23,15,490
47,50422,15,12,586
29,49863,13,11,723
40,66288,15,18,630
32,57120,16,9,603
32,49624,13,4,654
45,62266,13,12,475
43,70853,14,20,699
43,58367,15,4,688
48,54407,15,8,609
31,30322,15,12,750
44,34023,16,9,537
31,45421,12,5,762
38,40857,12,15,665
33,47195,10,21,616
35,50849,15,10,648
40,57945,16,5,639
26,54132,15,2,772
55,57297,19,11,542
32,50967,13,15,573
22,20368,16,12,753
46,35909,13,9,590
42,47838,12,11,740
41,31854,16,4,819
41,58998,16,14,609
34,72961,13,10,718
26,68281,13,2,534
35,46798,9,17,725
28,39206,12,12,669
44,52230,16,16,697
33,44943,15,3,585
26,40798,15,3,483
31,51238,14,9,700
39,42772,14,12,443
29,52556,12,18,618
26,52408,16,13,744
37,50045,15,11,669
36,56554,15,4,844
28,67859,12,16,752
30,64243,13,5,584
37,27726,17,10,652
20,11691,12,8,645
20,64014,11,17,491
35,29496,16,13,555
32,55074,12,9,593
38,32448,17,7,446
49,22970,12,8,654
43,58121,16,12,625
33,54484,9,10,482
36,41352,17,7,690
24,11134,14,9,721
34,41806,12,10,672
32,55877,14,0,617
38,27816,8,12,709
26,52750,15,5,718
40,49770,10,4,680
50,58689,9,1,567
33,51793,9,1,677
39,35403,17,3,769
41,67948,12,6,590
30,47622,18,19,859
37,49590,12,7,597
35,36000,8,10,653
33,43350,10,12,582
33,36727,17,10,672
35,47405,13,9,475
39,75675,12,4,595
49,29421,12,17,540
44,25796,15,19,663
56,54750,17,1,749
27,46860,18,4,714
43,39963,12,8,412
36,65598,10,5,854
38,40915,12,12,679
26,77390,14,6,572
26,39803,11,20,665
29,42681,11,15,667
13,82359,15,11,583
29,40914,13,15,669
27,61131,14,15,589
36,59709,11,7,609
33,69526,13,5,581
53,73422,11,10,506
44,50480,16,14,664
29,51186,17,10,708
33,56899,8,2,701
39,54594,11,5,731
21,80200,9,9,682
53,52048,12,9,596
46,44520,13,19,733
30,52770,9,3,514
37,29793,11,12,559
48,35425,10,17,553
33,68006,14,21,758
47,40146,14,7,744
19,34296,11,12,698
29,51724,15,9,757
35,67785,14,10,562
35,60784,13,9,684
30,64940,19,8,637
41,41346,18,10,734
24,28672,10,13,638
33,72520,14,10,611
36,45159,16,8,704
40,46237,10,20,737
42,69922,16,6,583
23,44012,18,7,643
19,56838,10,11,544
47,82475,11,5,400
33,40347,17,7,670
27,63917,14,10,710
42,50855,15,14,676
36,42579,15,11,455
46,52133,15,3,614
35,57617,10,7,428
55,58074,17,6,786
52,66087,17,9,541
32,44525,13,12,775
44,37411,13,12,744
41,34327,12,1,559
39,20504,15,15,536
25,80843,15,11,685
41,33451,13,16,565
45,46681,17,12,660
17,45847,12,15,601
23,54611,15,12,471
14,62236,10,16,426
32,62907,13,12,672
42,41253,13,9,593
50,55502,14,21,594
35,54238,12,14,719
51,46269,13,12,767
21,74110,16,3,622
17,57364,12,3,615
32,61023,9,11,700
38,59943,19,10,514
34,67602,18,6,672
14,52715,10,10,705
34,54407,16,17,718
21,55995,12,13,456
36,40229,14,4,573
38,42070,14,9,562
37,58795,13,5,659
29,68574,11,8,698
24,50319,11,7,799
34,54632,11,10,600
44,75533,11,3,600
31,53611,14,9,764
40,89025,11,8,679
29,58482,16,-4,776
27,23588,13,20,678
33,61300,12,9,534
24,55717,14,8,516
29,69346,15,10,494
25,60097,15,4,716
54,47923,14,18,768
37,31635,16,19,834
28,48118,15,10,734
37,37242,10,15,766
33,45595,16,10,591
32,48139,16,3,534
41,75048,11,7,735
42,55920,14,10,691
37,32061,16,7,660
38,56669,13,8,688
32,67949,17,9,682
11,40853,21,9,778
19,47989,13,10,779
33,50220,9,4,704
51,38226,14,10,734
32,49519,16,3,701
40,50973,13,14,603
38,56292,18,0,725
65,36687,9,15,510
46,47163,16,16,755
33,60835,12,8,530
25,44407,19,-3,678
18,75904,19,8,565
37,44005,11,9,705
27,53370,14,4,646
20,63988,16,7,490
28,28724,12,17,692
24,23587,13,13,592
51,27115,14,5,738
43,68938,8,2,650
34,41722,13,8,689
49,88372,11,8,554
35,41536,12,12,591
39,52768,18,7,604
50,73131,10,12,735
40,36520,16,19,817
24,80922,13,14,569
33,68125,13,9,757
26,65360,16,6,433
21,58887,12,10,530
44,61675,15,15,554
54,41732,16,6,514
21,37727,13,10,491
40,49949,15,10,691
28,47447,10,7,628
30,43201,11,3,687
29,54020,22,11,719
26,45696,17,9,676
35,51326,14,11,715
26,72162,10,7,643
37,32874,15,16,531
34,47095,15,5,755
40,39247,15,18,591
25,58744,12,1,556
29,48759,13,12,632
42,48173,14,12,558
40,72701,14,10,608
25,59462,7,12,684
35,47380,13,16,684
42,77811,11,-1,560
18,68315,14,9,601
40,58731,13,-2,757
34,46602,15,5,699
40,35608,13,18,857
27,56367,16,7,768
16,66331,15,4,764
27,78268,15,9,511
35,48168,15,20,726
37,42667,12,0,644
25,33205,10,10,594
41,52113,15,17,666
18,23473,11,19,744
34,54847,15,9,700
35,47785,11,3,562
28,43009,12,20,724
35,50254,13,17,586
26,57704,16,13,671
31,42009,13,5,619
45,32451,10,9,628
29,6916,14,10,726
43,49587,14,11,545
23,76583,10,17,844
40,74918,13,14,467
36,43143,13,4,590
34,40966,21,16,687
27,57031,15,11,708
40,35024,13,13,639
32,54526,12,17,644
38,61491,17,10,691
28,68403,20,9,626
35,48497,9,7,789
33,46944,8,2,733
46,47509,19,11,737
37,37596,13,22,553
35,46602,11,0,642
30,55510,15,8,619
30,63703,6,13,549
30,37952,14,10,686
38,72390,14,9,596
30,45933,16,9,715
37,49679,10,11,542
55,47504,14,6,821
43,13636,12,0,560
31,63260,14,8,671
47,61052,11,9,729
30,45780,12,10,592
14,53064,11,11,735
24,57739,15,15,527
39,26561,16,11,795
31,47913,13,14,651
35,61913,14,8,590
51,31185,9,10,620
38,54403,13,11,730
32,29651,13,12,591
43,56996,21,3,575
12,49465,10,11,627
37,25773,18,10,532
37,67471,16,6,832
39,38981,14,5,593
46,37846,19,4,733
38,53008,15,20,670
30,67229,15,16,551
37,34762,13,9,649
57,50925,17,3,728
36,56432,17,10,631
37,52059,12,3,769
30,52646,10,6,752
42,44494,13,5,741
43,37586,11,16,604
26,50721,13,10,542
35,33917,17,15,588
30,6179,12,13,669
39,56548,13,21,704
38,63559,14,2,432
45,14556,16,16,649
29,52433,7,10,665
32,59287,12,5,622
25,52270,14,11,779
30,50311,17,11,692
35,39079,12,11,781
42,47256,14,5,628
25,70623,15,6,743
43,40310,12,20,813
48,38012,10,10,781
39,42758,12,13,540
53,35700,13,10,624
27,51840,12,10,615
22,54277,7,15,698
17,54846,16,3,718
40,46214,17,7,566
41,52481,15,10,656
34,26552,10,10,448
37,63246,13,9,794
23,50436,13,11,598
59,47292,15,13,655
36,97896,16,13,619
36,54481,12,5,764
42,49195,14,8,366
39,43604,15,15,648
37,67226,18,14,639
27,51699,16,3,604
39,28425,16,11,822
53,63788,14,0,561
37,39977,18,10,727
50,78099,15,19,685
29,66200,11,5,776
39,43290,18,5,583
33,69215,14,13,576
35,51017,12,2,759
45,43655,12,6,692
18,57270,14,12,495
39,37304,15,14,596
33,40346,14,8,688
30,65449,13,13,733
24,44978,19,6,582
18,43945,17,11,358
43,56902,14,8,702
35,56353,14,11,527
22,80937,10,9,448
36,33987,15,12,366
31,50363,19,7,731
51,71183,13,9,662
32,48805,11,5,627
19,51977,12,9,788
32,34064,10,5,713
32,56424,11,4,811
8,47192,12,11,510
34,64785,9,11,646
32,67810,13,13,488
41,88843,16,7,627
53,58694,11,12,625
46,54886,18,12,712
32,52915,15,9,654
23,59450,17,5,712
60,55077,12,10,720
35,45568,16,11,865
35,52526,10,10,618
34,49739,16,0,555
34,34901,14,10,674
33,67098,15,21,569
29,69756,10,8,798
29,48228,11,6,621
34,18172,15,11,593
37,40882,11,11,602
27,50266,15,15,721
36,49656,9,3,634
40,35010,16,13,585
50,42428,10,12,816
8,62609,15,9,564
45,58201,15,11,653
47,46416,11,10,715
14,53072,15,14,486
31,44123,14,4,698
37,36163,12,14,544
20,74230,10,9,732
27,45165,8,10,553
23,68257,16,10,719
52,72819,13,9,760
44,64974,14,15,736
47,43525,14,11,675
42,56055,16,10,626
23,52530,13,8,592
29,36444,13,10,797
39,54865,16,16,580
22,32314,15,13,546
42,67815,14,12,716
32,43030,15,22,570
31,53017,9,8,554
42,54249,16,16,505
39,46116,15,9,601
31,44543,10,12,641
46,42876,13,14,674
24,63069,13,16,745
41,29810,13,15,702
40,51895,15,10,630
31,79083,18,8,630
38,34995,17,7,701
39,39833,10,11,777
44,57708,15,14,662
39,52693,17,8,603
29,55259,15,15,550
45,57337,17,17,505
27,59520,20,5,716
20,66645,17,9,707
19,56147,14,9,707
41,46381,17,11,637
32,60088,14,7,790
52,78498,14,16,601
14,48010,12,12,745
34,35382,13,10,646
37,66606,11,2,589
34,49027,18,10,709
29,17409,15,11,690
38,62711,9,0,685
40,41970,15,15,658
46,48642,7,9,646
36,54979,16,26,888
36,52857,16,21,768
31,60641,12,9,722
34,52556,14,9,661
38,57696,19,14,750
17,46106,12,18,701
21,61082,10,1,652
42,59230,18,1,619
36,35968,19,6,641
33,66289,14,9,332
35,41960,17,12,671
38,62120,18,15,601
29,55502,11,4,809
38,77572,12,-1,651
36,43118,17,14,531
25,44760,19,5,645
39,49708,14,0,545
17,45452,11,10,697
45,61999,19,13,679
39,25755,12,9,745
37,34194,12,7,570
44,51423,15,9,653
51,64254,18,8,513
45,75659,16,3,720
16,48433,15,6,701
22,47467,15,12,699
28,51050,14,8,650
35,67428,15,10,691
40,36089,6,5,810
27,53575,13,9,621
36,64627,14,0,663
30,57516,10,10,541
28,52843,15,10,563
20,48398,13,2,659
25,9451,19,7,760
21,60168,18,11,624
40,40188,12,16,626
45,51270,13,7,609
25,55663,13,6,596
61,70604,12,0,679
39,47938,14,10,500
36,46803,11,20,778
26,74184,10,11,583
42,69723,15,9,722
29,74599,15,11,523
36,50380,13,9,716
60,51131,16,5,717
34,25970,12,14,688
46,45350,14,11,550
27,37351,16,10,674
34,82564,13,5,531
37,47361,15,16,624
28,51848,12,13,752
53,48199,13,7,729
42,52791,13,15,651
29,75425,11,7,552
41,40660,13,6,714
44,52919,9,6,651
41,38862,12,1,417
19,30199,13,13,728
27,40823,13,0,647
32,49444,13,3,770
34,43560,13,10,540
41,39613,15,9,332
36,28905,16,12,677
21,48966,12,8,679
43,27429,10,8,480
41,61400,10,4,552
40,51236,12,7,925
45,48680,12,7,619
34,45361,11,11,723
39,38717,10,5,584
34,54787,12,10,440
32,70106,14,16,632
39,43702,15,12,623
37,51725,12,7,610
37,47598,12,11,638
22,60070,11,8,676
24,53197,13,10,634
45,38720,11,8,523
34,45214,15,9,698
41,38059,8,11,455
35,66140,12,8,444
37,50319,14,13,723
44,78517,14,14,700
29,49090,22,1,644
35,39373,15,3,510
30,51409,10,10,579
36,22952,13,11,623
31,56858,8,12,490
37,54006,13,10,576
30,57630,11,0,715
47,26282,16,13,792
36,63425,12,14,608
33,42754,13,5,725
30,52201,12,12,458
49,74183,19,5,715
36,63452,13,10,569
45,45972,19,3,680
20,62408,16,1,625
34,17722,15,8,782
43,39212,15,10,562
35,46833,15,8,712
37,35192,8,4,622
29,48031,13,8,634
49,51152,16,11,631
57,46627,13,9,565
31,40249,9,10,648
30,52529,13,6,643
49,56629,19,15,674
50,33644,17,4,658
29,71163,13,12,729
30,48521,16,15,742
32,51089,12,12,544
34,60623,8,8,736
25,53498,11,7,531
24,64297,18,15,708
27,54306,13,2,711
34,40813,13,5,458
37,55422,13,8,659
50,32844,12,16,603
25,51628,14,11,574
44,48906,20,5,785
32,46878,13,10,584
34,48071,14,6,569
41,21772,9,6,657
39,41769,18,14,718
32,51392,13,3,635
38,52397,14,18,766
27,34584,10,14,703
37,68985,12,15,432
59,37007,11,7,597
28,64541,12,9,593
29,56407,12,2,697
28,40306,12,7,387
29,76629,14,12,904
28,32095,10,16,703
46,63787,14,4,664
49,65008,17,8,768
29,39940,15,9,884
26,70886,11,10,737
39,46249,13,12,744
29,54330,17,6,663
41,53904,15,9,635
37,51182,12,7,602
19,62162,15,6,567
50,61902,10,9,581
36,23772,16,8,514
28,69565,15,8,642
31,50728,13,6,481
37,65488,11,11,669
38,47766,11,18,646
41,33635,15,10,664
55,43837,13,14,597
36,33414,12,3,957
30,46776,15,10,786
21,45379,7,11,525
27,61694,12,2,673
34,69654,13,6,589
52,70935,11,15,548
39,41567,14,10,515
37,46861,11,11,693
34,52649,12,2,581
46,37911,13,9,746
60,64472,7,11,749
29,74233,7,10,787
30,31484,12,0,564
45,41113,15,11,697
41,49603,14,9,713
53,54202,12,12,602
40,45949,12,0,572
31,56360,18,9,810
40,42892,12,12,672
46,49783,15,14,713
43,58194,14,13,567
40,42050,7,12,528
45,43454,16,6,593
46,48355,14,0,637
48,52973,15,8,543
41,44449,25,15,649
33,51643,7,16,481
36,73979,19,13,537
35,58413,13,12,717
26,45567,14,11,710
38,60454,15,7,610
31,44992,12,9,548
35,67596,12,18,547
47,55544,14,5,612
36,48390,9,18,714
35,56715,16,8,742
21,52391,12,16,600
42,33098,10,2,534
41,32091,12,12,676
56,51006,17,6,567
31,75987,12,2,598
37,83469,15,11,782
37,59570,11,15,732
50,57512,16,12,665
34,22984,14,2,522
37,41859,19,9,671
40,38183,13,11,756
36,40687,16,12,612
30,47477,14,14,785
36,42918,17,15,779
45,43732,11,19,816
24,56854,16,11,680
36,33908,13,8,708
27,53588,13,11,791
46,81111,14,8,694
19,36209,14,8,599
29,12045,13,14,605
38,46857,14,12,673
50,66514,18,4,520
34,60404,13,9,635
29,31556,16,13,759
53,57450,12,17,430
20,43020,11,14,803
13,48410,16,13,762
39,89665,16,10,604
36,27455,18,11,704
34,53806,12,16,650
42,62655,13,8,772
37,66286,9,8,748
29,51469,12,6,509
22,54620,16,11,708
43,49229,12,16,629
41,54036,14,7,658
41,44852,13,-1,577
53,59323,14,7,824
24,55092,10,14,754
19,52650,14,12,576
28,49561,14,12,516
34,66890,13,8,611
37,49229,9,8,693
32,23404,17,12,674
31,68928,16,7,775
38,36414,15,20,728
49,40193,18,12,746
34,41065,11,7,682
46,55038,19,9,511
38,57492,16,9,630
39,97066,13,8,756
40,65840,17,15,644
39,53348,10,10,700
41,49176,11,6,618
48,54283,12,19,547
31,57816,12,7,637
42,59678,15,13,680
34,47076,17,6,584
49,51343,13,11,626
28,47039,15,11,556
53,47730,12,0,761
34,45531,8,20,620
20,67006,14,16,795
36,58903,8,8,802
28,5894,13,4,641
43,59838,9,11,549
28,54070,19,10,441
30,49719,16,11,502
16,44172,14,10,512
37,66861,17,12,787
10,64212,11,9,661
19,51486,15,12,688
42,56105,14,4,427
42,48675,14,16,530
39,29305,17,18,738
25,40599,16,25,678
34,62935,14,4,635
34,64296,9,11,706
23,57696,11,0,813
50,60876,13,12,627
43,57742,14,11,656
32,42227,10,19,669
35,56478,21,6,889
37,62006,18,1,440
14,61314,15,7,718
32,67833,14,0,638
28,60624,13,13,706
24,55271,11,0,584
32,66052,14,10,645
52,49602,14,11,721
41,36771,10,8,961
29,47553,15,18,730
40,38826,13,11,565
